Publication_ID,Publication Title,Publication Date,Publication Page,Publication_DOI,Link,,,,,,,,
1,High-resolution chemical Abundances of the Nyx Stream,"Thursday, September 26, 2024","Volume 955, Number 2",10.3847/1538-4357/acec4d,https://iopscience.iop.org/article/10.3847/1538-4357/acec4d,,,,,,,,
2,Phase-space Properties and Chemisty of the Sagettarius Stellar Stream Down to the Extremely Metal-poor Regime,"Thursday, March 30, 2023","Volume 946, Number 2",10.3847/1538-4357/acb694,https://iopscience.iop.org/article/10.3847/1538-4357/acb694,,,,,,,,
3,The Metal-weak Milky Way Stellar Disk Hidden in the Gaia–Sausage–Enceladus Debris: The APOGEE DR17 View,"Friday, August 11, 2023","Volume 953, Number 2",10.3847/1538-4357/ace185,https://iopscience.iop.org/article/10.3847/1538-4357/ace185,,,,,,,,
4,The Chemodynamical Nature of the Triangulum–Andromeda Overdensity,"Friday, May 26, 2023","Volume 949, Number 2",10.3847/1538-4357/acc9bc,https://iopscience.iop.org/article/10.3847/1538-4357/acc9bc,,,,,,,,
5,Evidence for Multiple Accretion Events in the Gaia-Sausage/Enceladus Structures,"Tuesday, April 16, 2024","Volume 911, Number 2",10.3847/2041-8213/abf35e,https://iopscience.iop.org/article/10.3847/2041-8213/abf35e,,,,,,,,
6,Evidence from Disrupted Halo Dwarfs that r-process Enrichment via Neutron Star Mergers is Delayed by ?500 Myr,"Thursday, February 24, 2022","Volume 926, Number 2",10.3847/2041-8213/ac5589,https://iopscience.iop.org/article/10.3847/2041-8213/ac5589,,,,,,,,
7,The Poor Old Heart of the Milky Way,"Monday, December 12, 2022","Volume 941, Number 1",10.3847/1538-4357/ac9e01,https://iopscience.iop.org/article/10.3847/1538-4357/ac9e01,,,,,,,,
8,Dynamically Tagged Groups of Metal-poor Stars. II. The Radial Velocity Experiment Data Release 6,"Wednesday, July 20, 2022","Volume 261, Number 2",10.3847/1538-4365/ac680c,https://iopscience.iop.org/article/10.3847/1538-4365/ac680c,,,,,,,,
9,Inferred Evidence for Dark Matter Kinematic Substructure with SDSS–Gaia,"Friday, March 15, 2019","Volume 874, Number 1",10.3847/1538-4357/ab095b,https://iopscience.iop.org/article/10.3847/1538-4357/ab095b,,,,,,,,
10,Untangling the Sources of Abundance Dispersion in Low-metallicity Stars,"Friday, February 10, 2023","Volume 944, Number 1",10.3847/1538-4357/aca659,https://iopscience.iop.org/article/10.3847/1538-4357/aca659,,,,,,,,
11,Element Abundance Analysis of the Metal-rich Stellar Halo and High-velocity Thick Disk in the Galaxy,"Monday, June 28, 2021","Volume 915, Number 1",10.3847/1538-4357/abff52,https://iopscience.iop.org/article/10.3847/1538-4357/abff52,,,,,,,,
12,The Observable Properties of Galaxy Accretion Events in Milky Way–like Galaxies in the FIRE-2 Cosmological Simulations,"Monday, February 6, 2023","Volume 943, Number 2",10.3847/1538-4357/acae87,https://iopscience.iop.org/article/10.3847/1538-4357/acae87,,,,,,,,
13,Existence of the Metal-rich Stellar Halo and High-velocity Thick Disk in the Galaxy,"Wednesday, November 11, 2020","Volume 903, Number 2",10.3847/1538-4357/abbd3d,https://iopscience.iop.org/article/10.3847/1538-4357/abbd3d,,,,,,,,
14,Evidence from the H3 Survey That the Stellar Halo Is Entirely Comprised of Substructure,"Monday, September 21, 2020","Volume 901, Number 1 ",10.3847/1538-4357/abaef4,https://iopscience.iop.org/article/10.3847/1538-4357/abaef4,,,,,,,,
15,Gastro Library. I. The Simulated Chemodynamical Properties of Several Gaia–Sausage–Enceladus-like Stellar Halos,"Friday, September 16, 2022","Volume 937, Number 1",10.3847/1538-4357/ac8b0d,https://iopscience.iop.org/article/10.3847/1538-4357/ac8b0d,,,,,,,,
16,Reading the CARDs: The Imprint of Accretion History in the Chemical Abundances of the Milky Way's Stellar Halo,"Thursday, August 4, 2022","Volume 934, Number 2",10.3847/1538-4357/ac78ea,https://iopscience.iop.org/article/10.3847/1538-4357/ac78ea,,,,,,,,
17,A Blueprint for the Milky Way's Stellar Populations. III. Spatial Distributions and Population Fractions of Local Halo Stars,"Thursday, September 9, 2021","Volume 918, Number 2",10.3847/1538-4357/ac07a4,https://iopscience.iop.org/article/10.3847/1538-4357/ac07a4,,,,,,,,
18,"Combining Astrometry and Elemental Abundances: The Case of the Candidate Pre-Gaia Halo Moving Groups G03-37, G18-39, and G21-22*","Wednesday, August 18, 2021","Volume 162, Number 3",10.3847/1538-3881/ac10c6,https://iopscience.iop.org/article/10.3847/1538-3881/ac10c6,,,,,,,,
19,Orbital and Absolute Magnitude Distribution of Jupiter Trojans,"Wednesday, February 28, 2024","Volume 167, Number 3",10.3847/1538-3881/ad2200,https://iopscience.iop.org/article/10.3847/1538-3881/ad2200,,,,,,,,
20,Characterization of High-polarization Stars and Blazars with DIPOL-1 at Sierra Nevada Observatory,"Wednesday, February 28, 2024","Volume 167, Number 3",10.3847/1538-3881/ad250d,https://iopscience.iop.org/article/10.3847/1538-3881/ad250d,,,,,,,,
21,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1523,,,,,,,,
22,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1524,,,,,,,,
23,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1526,,,,,,,,
24,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1244,,,,,,,,
25,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad11e0,,,,,,,,
26,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0728,,,,,,,,
27,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad110c,,,,,,,,
28,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0b13,,,,,,,,
29,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad12bf,,,,,,,,
30,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad11e2,,,,,,,,
31,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0b6f,,,,,,,,
32,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1039,,,,,,,,
33,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad110e,,,,,,,,
34,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0bfd,,,,,,,,
35,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1509,,,,,,,,
36,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad14f7,,,,,,,,
37,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad11de,,,,,,,,
38,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1110,,,,,,,,
39,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad09bd,,,,,,,,
40,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad08ba,,,,,,,,
41,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0b72,,,,,,,,
42,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0a96,,,,,,,,
43,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0894,,,,,,,,
44,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0be8,,,,,,,,
45,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0b0b,,,,,,,,
46,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/acf576,,,,,,,,
47,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0beb,,,,,,,,
48,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad09c2,,,,,,,,
49,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0a62,,,,,,,,
50,,,,,,,,,,,,,
